name,mobile,company,email,,,,
KeunHeeLee,010-111-1111,Samsung,keunheelee@gmail.com,,,,
KangMoKoo,010-222-2222,LG,kangmoku@gmail.com,,,,
TaewonChoi,010-333-3333,SK,chodaewoon@gmail.com,,,,
SeunueSeun,010-444-4444,HyunDai,seuneljueng@gmail.com,,,,
KungBaeSung,010-555-5555,AmorePacific,keungbaesung@gmail.com,,,,a
DongBinShin,010-666-6666,Lotte,dongbinshin@gmail.com,,,,
SungYounKim,010-777-7777,HanWa,sungyeonkim@gmail.com,,,,
JungWooChoi,010-888-8888,POSCO,woochoijeung@gmail.com,,,,
ChanSuHur,010-999-9999,GS,changsuhur@gmail.com,,,,
YoungJinJung,010-000-0000,ShinSeKae,youngjinjung@gmail.com,,,,
